cellName,Patch_cell_container,X.1,X,channels,dendrite,multiple_Vm,extended_FI,noise,experiment,alternateName,internal,preparation,brain_region,layer,cell_class,species,sample_id.x,mouse_type,virus,reporter,DIV,DPI,rig_operator,spec_id_label.x,Lims20x,Lims60x,Reconstruction,MaxRn,SSRn,Sag_ratio,rebound,RMP,tau,sag,Fr,Q,cutoff,zap_tau,Iphase,phase0,MaxZ,AP_50,AP_100,AP_150,AP_200,AP_250,AP_300,AP_350,AP_400,AP_450,AP_500,AP_550,AP_600,AP_650,AP_700,AP_750,AP_800,AP_850,AP_900,AP_950,AP_1000,SFA,CV,mAHP,AP_threshold,AP_peak,AP_amp,max_dvdt,min_dvdt,up_down,AP_HW,f_AHP,FI_slope_initial,FI_slope_max,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,max1,max2,max3,max4,max5,max6,max7,max8,max9,max10,max11,max12,max13,max14,100Hz burst@rheobase,100Hz burst@rheobase+500,max_f_rheobase,max_f_rheobase+500,AP_threshold_short,AP_threshold_ramp,X10s_1,X10s_2,X10s_3,X10s_4,X10s_5,X10s_6,X10s_7,X10s_8,X10s_9,X10s_10,X10s_11,X10s_12,X10s_13,X10s_14,X10s_15,X10s_16,X10s_17,X10s_18,X10s_19,X10s_20,X10s_21,X10s_22,X10s_23,X10s_24,X10s_25,X10s_26,X10s_27,X10s_28,X10s_29,X10s_30,X10s_31,X10s_32,X10s_33,X10s_34,X10s_35,X10s_36,X10s_37,X10s_38,X10s_39,X10s_40,X10s_41,X10s_42,X10s_43,X10s_44,X10s_45,X10s_46,X10s_47,X10s_48,X10s_49,X10s_50,X10s_51,X10s_52,X10s_53,X10s_54,X10s_55,X10s_56,X10s_57,X10s_58,X10s_59,X10s_60,X10s_61,X10s_62,X10s_63,X10s_64,X10s_65,X10s_66,X10s_67,X10s_68,X10s_69,X10s_70,X10s_71,X10s_72,X10s_73,X10s_74,X10s_75,X10s_76,X10s_77,X10s_78,X10s_79,X10s_80,X10s_81,X10s_82,X10s_83,X10s_84,X10s_85,X10s_86,X10s_87,X10s_88,X10s_89,X10s_90,X10s_91,X10s_92,X10s_93,X10s_94,X10s_95,X10s_96,X10s_97,X10s_98,X10s_99,X10s_100,X10s_101,X10s_102,X10s_103,X10s_104,X10s_105,X10s_106,X10s_107,X10s_108,X10s_109,X10s_110,X10s_111,X10s_112,X10s_113,X10s_114,X10s_115,X10s_116,X10s_117,X10s_118,X10s_119,X10s_120,X10s_121,X10s_122,X10s_123,X10s_124,X10s_125,X10s_126,X10s_127,X10s_128,X10s_129,X10s_130,X10s_131,X10s_132,X10s_133,X10s_134,X10s_135,X10s_136,X10s_137,X10s_138,X10s_139,X10s_140,X10s_141,X10s_142,X10s_143,X10s_144,X10s_145,X10s_146,X10s_147,X10s_148,X10s_149,X10s_150,X10s_151,X10s_152,X10s_153,X10s_154,X10s_155,X10s_156,X10s_157,X10s_158,X10s_159,X10s_160,X10s_161,X10s_162,X10s_163,X10s_164,X10s_165,X10s_166,X10s_167,X10s_168,X10s_169,X10s_170,X10s_171,X10s_172,X10s_173,X10s_174,X10s_175,X10s_176,X10s_177,X10s_178,X10s_179,X10s_180,X10s_181,X10s_182,X10s_183,X10s_184,X10s_185,X10s_186,X10s_187,X10s_188,X10s_189,X10s_190,X10s_191,X10s_192,X10s_193,X10s_194,X10s_195,X10s_196,X10s_197,X10s_198,X10s_199,X10s_200,X10s_201,X10s_202,X10s_203,X10s_204,X10s_205,X10s_206,X10s_207,X10s_208,X10s_209,X10s_210,X10s_211,X10s_212,X10s_213,X10s_214,X10s_215,X10s_216,X10s_217,X10s_218,X10s_219,X10s_220,X10s_221,X10s_222,X10s_223,X10s_224,X10s_225,X10s_226,X10s_227,X10s_228,X10s_229,X10s_230,X10s_231,X10s_232,X10s_233,X10s_234,X10s_235,X10s_236,X10s_237,X10s_238,X10s_239,X10s_240,X10s_241,X10s_242,X10s_243,X10s_244,X10s_245,X10s_246,X10s_247,X10s_248,X10s_249,X10s_250,X10s_251,X10s_252,X10s_253,X10s_254,X10s_255,X10s_256,X10s_257,X10s_258,X10s_259,X10s_260,X10s_261,X10s_262,X10s_263,X10s_264,X10s_265,X10s_266,X10s_267,X10s_268,X10s_269,X10s_270,X10s_271,X10s_272,X10s_273,X10s_274,X10s_275,X10s_276,X10s_277,X10s_278,X10s_279,X10s_280,X10s_281,X10s_282,X10s_283,X10s_284,X10s_285,X10s_286,X10s_287,X10s_288,X10s_289,X10s_290,X10s_291,X10s_292,X10s_293,X10s_294,X10s_295,X10s_296,X10s_297,X10s_298,X10s_299,X10s_300,X10s_301,X10s_302,X10s_303,X10s_304,X10s_305,X10s_306,X10s_307,X10s_308,X10s_309,X10s_310,X10s_311,X10s_312,X10s_313,X10s_314,X10s_315,X10s_316,X10s_1.1,X10s_2.1,X10s_3.1,X10s_4.1,X10s_5.1,X10s_6.1,X10s_7.1,X10s_8.1,X10s_9.1,X10s_10.1,QC,QC_problem,rheobase,sample_id,spec_id_label,gender_label,medical_conditions_label,rna_amplification_pass_fail_label,cluster_label,score_label,res_index_label,topLeaf_label,topLeafValue_label,Norm_Marker_Sum.0.4_label,seurat_cluster_label,seurat_prediction_score_label
Q20.26.014.1A.05.01,none,,,no,no,no,yes,yes,Enhancer_Test,,patch-seq,acute,M1,5,IN,macaque,,,1633,yfp+,,,,,,,,115.513,99.3644,1.16252,-0.148063,-66.3605,6.53755,0.178425,0.827251,1.01717,11.9755,13.2901,-0.205849,0.729757,168.743,0,9,77,119,154,186,213,238,258,277,295,311,325,338,352,360,371,381,391,399,0.27596,0.539668,-1.88482,-36.4366,13.4,49.8366,385,-319.375,1.205479452,0.213806,-27.9,0.84,0.84,17.0443,84.4821,137.676,189.602,228.064,257.803,288.73,314.115,335.298,349.333,373.468,380.885,398.347,408.264,17.0443,84.4821,137.676,189.602,228.064,257.803,288.73,314.115,335.298,349.333,373.468,380.885,398.347,408.264,,,,,,,240.558,363.947,649.302,3186.93,3377,3406.75,3460.41,3513.43,3661.42,3718.12,3879.13,4159.41,4350.82,4432.41,4452.46,4475.14,4513.45,4718.86,4853.84,5058.77,5257.41,5357,5416.16,5454.86,5517.26,5736.6,5995.59,6123.19,6351.69,6385.66,6609.16,6657.16,6684.75,6728.47,6856.03,6938.76,7039.51,7082.76,7141,7238.41,7371.4,7426.76,7536.37,7619.22,7694.28,7804.3,7930.21,7974.92,8041.22,8134.04,8156.39,8208.85,8242.46,8275.23,8332.07,8519.91,8587.32,8692.24,8797.42,8886.24,8971.41,9077.74,9269.33,9436.12,9515.21,9566.43,9617.12,9804.23,9911.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,8,8,8,9,12,13,8,,,,,,,,,,,,,,,,
Q20.26.014.1A.05.02,none,,,no,no,no,yes,no,Enhancer_Test,,patch-seq,acute,M1,5,IN,macaque,,,1633,yfp+,,,,,,,,66.3397,51.6969,1.28324,-0.189427,-61.8029,5.94262,0.191422,5.3528,1.15247,30.1187,5.28425,6.74666,2.54886,60.4722,0,0,0,0,14,44,72,95,115,131,148,164,179,194,209,224,242,260,277,294,1.17227,0.201963,-3.28308,-37.3315,5.425,42.7565,401.562,-274.531,1.462720057,0.18866,-21.9,0.38,0.38,9.36935,39.0561,69.9621,98.273,112.73,128.818,136.654,156.351,164.601,172.51,179.841,196.775,204.143,219.864,9.36935,39.0561,69.9621,98.273,112.73,128.818,136.654,156.351,164.601,172.51,179.841,196.775,204.143,219.864,,,,,,,81.7975,179.342,262.004,356.091,419.847,529.002,620.628,676.163,771.352,932.007,1087.6,1210.51,1286.12,1365.35,1472.57,1555.65,1697.84,1820.88,1923.74,2003.83,2084.6,2247.62,2366.35,2492.2,2576.53,2665.7,2753.92,2856.89,2945.58,3023.45,3100.94,3186.12,3446.65,3523.71,3636.36,3802.33,3919.21,4028.15,4147.9,4244,4365.52,4426.59,4490.44,4736.41,4810.68,4876.17,4967.68,5064.9,5221.84,5301.07,5387.17,5527.14,5615.61,5682.72,5860.54,6346.49,6821.48,6962.7,7055.15,7368.88,7479.32,7756.48,8395.85,8475.33,8599.45,9044.03,9134.23,9211.72,9841.87,9920.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,10,8,10,8,3,4,3,5,,,,,,,,,,,,,,,,
Q20.26.014.1A.05.03,PQS4_200721_301_A01,,,no,no,no,yes,yes,Enhancer_Test,,patch-seq,acute,M1,5,IN,macaque,,,1633,yfp+,,,,,,,,67.6887,54.1127,1.25089,-0.231535,-69.1203,7.88151,0.146519,2.57908,1.11244,12.5849,12.6465,3.65319,2.22291,96.1741,0,0,0,0,0,0,1,2,3,163,188,207,225,241,259,279,296,313,325,337,0.787938,0.171731,-6.54068,-46.5806,11.1562,57.7368,444.531,-346.406,1.283265879,0.215942,-21.1,0.02,1.85,97.9889,83.807,153.387,173.244,169.197,202.921,191.693,202.93,215.949,235.958,255.399,257.289,296.45,,97.9889,83.807,153.387,173.244,169.197,202.921,191.693,202.93,215.949,235.958,255.399,257.289,296.45,,,,,,,,81.7975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,56,89,81,77,85,90,87,65,87,,,,,,,,,,,,,,,,
Q20.26.014.1A.05.04,PQS4_200721_302_A01,,,no,no,no,yes,yes,Enhancer_Test,,patch-seq,acute,M1,5,IN,macaque,,,1633,yfp+,,,,,,,,75.2506,51.2642,1.4679,-0.331936,-61.6809,8.55483,0.396208,2.6764,1.14593,7.19851,22.1094,1.13769,1.02849,130.392,0,8,33,53,74,95,116,128,148,163,177,192,207,217,230,243,249,259,267,273,2.22531,0.309796,-4.6112,-45.7592,27.025,72.7842,516.875,-365.156,1.415490913,0.249329,-17.9033,0.387,0.387,24.6552,55.2364,84.4943,105.797,129.186,142.912,168.212,181.386,196,218.755,232.487,238.229,259.509,275.361,24.6552,55.2364,84.4943,105.797,129.186,142.912,168.212,181.386,196,218.755,232.487,238.229,259.509,275.361,,,,,,,30.2268,72.8932,111.867,188.854,283.277,389.535,3159.05,3307.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Q20.26.014.1A.10.01,PQS4_200722_301_A01,,,yes,no,no,yes,yes,Enhancer_Test,,patch-seq,culture,M1,3,IN,macaque,,,1633,yfp+,,,,,,,,168.91,120.397,1.40295,-0.355031,-58.3378,8.82967,0.316735,3.11436,1.13127,11.2391,14.1608,3.61678,1.8226,202.779,0,27,52,80,105,128,152,177,194,210,224,232,237,242,247,248,247,243,,,1.09968,0.0557919,-3.76166,-39.448,33.2,72.648,421.875,-245.781,1.716467099,0.350281,-18.1583,0.51,0.51,28.2058,66.6717,106.827,135.758,160.079,184.969,204.855,226.969,248.336,257.569,262.48,279.393,295.006,295.605,28.2058,66.6717,106.827,135.758,160.079,184.969,204.855,226.969,248.336,257.569,262.48,279.393,295.006,295.605,,,,,,,38.5236,292.525,398.808,881.88,1118.15,2350.43,2897.57,5242.96,6744.87,7873.99,8003.27,8548.31,9425.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,2,0,0,1,1,1,2,1,,,,,,,,,,,,,,,,
Q20.26.014.1A.10.02,PQS4_200722_302_A01,,,yes,no,no,yes,yes,Enhancer_Test,,patch-seq,culture,M1,3,IN,macaque,,,1633,yfp+,,,,,,,,66.7055,49.9124,1.33645,-0.377405,-61.2416,7.61718,0.263189,2.91971,1.21722,12.4065,12.8284,5.38507,2.24925,85.9882,0,0,0,17,39,59,78,94,111,125,136,152,167,184,198,230,245,262,275,,2.4977,0.267668,-5.27986,-29.9682,26.425,56.3932,457.5,-336.406,1.359963853,0.223938,-25.4916,0.35,0.35,17.0539,62.97,98.5286,133.374,179.552,212.86,254.293,264.287,289.884,297.069,332.238,328.826,356.322,364.04,17.0539,62.97,98.5286,133.374,179.552,212.86,254.293,264.287,289.884,297.069,332.238,328.826,356.322,364.04,,,,,-40.1184,,253.637,399.837,601.141,766.969,1131.39,1862.18,2074.45,2350.91,2520.42,2693.5,2978.31,3229.72,3383,3591.05,3822.8,3985.89,4258.1,4806.63,5526.59,6047.96,6821.07,7876.3,8416.64,9618.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,5,5,2,1,2,1,1,1,,,,,,,,,,,,,,,,
Q20.26.014.1A.10.03,none,,,no,no,no,yes,no,Enhancer_Test,,patch-seq,culture,M1,5,IN,macaque,,,1633,yfp+,,,,,,,,76.2532,57.6098,1.32361,-0.290335,-64.1922,10.1221,0.187855,3.11436,1.13285,12.1061,13.1467,3.17827,1.36498,97.616,0,0,3,41,49,59,75,93,106,112,130,145,158,175,188,199,207,220,232,245,1.289,0.110247,-2.74467,-37.1295,16.5375,53.667,390.781,-280,1.395646429,0.249023,-21.906,0.294,0.294,10.5393,54.1442,65.9297,83.8016,112.803,135.001,152.161,166.807,190.125,203.71,210.455,239.323,247.345,260.895,10.5393,54.1442,65.9297,83.8016,112.803,135.001,152.161,166.807,190.125,203.71,210.455,239.323,247.345,260.895,,,,,,,44.4451,113.554,216.181,387.323,767.711,1163.72,1659.39,1849.76,2034.65,3788.98,4000.01,4510.42,5337.95,5522.62,7105.24,9862.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,1,2,2,0,1,0,1,,,,,,,,,,,,,,,,
Q20.26.014.1A.10.04,PQS4_200722_303_A01,,,no,no,no,yes,no,Enhancer_Test,,patch-seq,culture,M1,2,IN,macaque,,,1633,yfp+,,,,,,,,337.004,179.181,1.8808,-0.44218,-53.7502,14.9412,0.449823,2.6764,1.35461,5.18709,30.6829,3.07422,1.37799,709.948,20,50,74,98,120,139,157,172,186,198,,,,,,,,,,,1.78311,0.189859,-5.7167,-39.76,40.4813,80.2413,399.688,-290.312,1.376753286,0.34668,-16.4275,1.06,1.06,6.60995,28.1933,45.3717,63.3889,85.4875,97.2931,114.43,127.377,143.743,154.516,163.94,179.537,194.128,193.224,6.60995,28.1933,45.3717,63.3889,85.4875,97.2931,114.43,127.377,143.743,154.516,163.94,179.537,194.128,193.224,,,,,,,58.2101,173.329,275.484,456.548,562.492,704.651,798.082,973.442,1289.8,2675.2,4112.54,5032.23,5223.44,5481.04,8895.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,1,0,1,3,0,0,1,0,,,,,,,,,,,,,,,,
Q20.26.014.1A.10.05,none,,,no,no,no,yes,yes,Enhancer_Test,,patch-seq,culture,M1,3or5,IN,macaque,,,1633,yfp+,,,,,,,,31.8989,22.4797,1.41901,-0.360069,-63.6472,7.62311,0.318131,6.52068,1.13939,17.4498,9.12073,8.34151,2.46813,34.6475,0,0,0,0,0,0,0,0,0,0,1,8,23,34,45,53,63,72,79,87,1.93461,0.238296,-5.91221,-28.5547,16.3125,44.8672,353.281,-281.406,1.255413886,0.218689,-23.0416,0.21,0.21,35.706,64.0874,78.7665,93.0866,102.425,120.883,140.887,147.284,163.601,,,,,,35.706,64.0874,78.7665,93.0866,102.425,120.883,140.887,147.284,163.601,,,,,,,,,,-39.5115,,21.2006,53.0006,109.397,189.038,292.806,530.671,939.734,1227.84,1363.76,1497.01,1611.09,1693.01,1794.43,1923.43,2035.68,2153.42,2298.48,2410.65,2519.76,2612.46,2697.16,2789.87,2864.79,2971.15,3069.83,3189.95,3278.17,3371.58,3461.77,3574.96,3659.8,3750.26,3842.12,3932.41,4032.8,4164.07,4268.75,4344.16,4446.87,4562.95,4661.94,4780.11,4881.64,4988.51,5087.23,5183.89,5282.86,5374.3,5466.24,5568.12,5671.19,5785.27,5891.62,5997.84,6107.49,6212.43,6309.39,6432.51,6534.75,6640.52,6737.66,6823.01,6928.11,7043.49,7153.39,7264.45,7366.03,7470.96,7568.6,7673.47,7790.5,7902.71,8039.24,8156.31,8296.74,8432.76,8553.78,8667.68,8809.8,8986.61,9129.11,9260.35,9409.1,9512.46,9635.99,9787.38,9919.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,10,10,10,10,9,9,8,7,,,,,,,,,,,,,,,,
Q20.26.014.1A.10.06,PQS4_200722_304_A01,,,no,no,no,yes,yes,Enhancer_Test,,patch-seq,culture,M1,5,IN,macaque,,,1633,yfp+,,,,,,,,137.683,106.036,1.29845,-0.289888,-63.9283,9.08619,0.266175,2.2871,1.19058,7.70351,20.6601,2.66E-06,0.500476,217.457,6,37,68,95,117,140,161,189,215,230,258,263,286,296,316,320,330,332,340,351,1.34774,0.102244,-4.03693,-36.0305,15.6812,51.7117,391.094,-284.531,1.374521581,0.242798,-25.4402,0.55,0.55,8.65807,44.4831,84.9304,115.621,155.659,193.088,222.997,237.879,281.941,285.684,315.916,327.161,351.225,370.981,8.65807,44.4831,84.9304,115.621,155.659,193.088,222.997,237.879,281.941,285.684,315.916,327.161,351.225,370.981,,,,,-44.0684,,79.7385,212.417,361.79,511.478,846.783,956.752,1146.25,1311.25,1517.61,1696.02,1847.86,1986.4,2329.48,2509.12,6046.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,2,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,
Q20.26.014.1A.12.02,,,,no,no,yes,yes,no,Enhancer_Test,,patch-seq,acute,M1,,IN,macaque,,,1633,yfp+,,,Jonathan,,,,,119.543,74.5518,1.60348,-0.55779,-60.2186,,0.357601,2,1.0894,13.3705,11.9034,0.389951,1.36367,113.681,2,31,61,88,113,136,156,175,189,203,215,226,235,242,249,257,262,267,271,277,1.06398,0.126399,-4.30374,-29.3265,31.4026,60.7291,349.121,-313.416,1.113922072,0.257324,-26.9,0.556,0.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6729,185.871,298.614,470.694,756.026,956.124,1240.97,1434.89,1837.16,3889.59,5005.59,6259.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,1,0,1,1,0,0,0,,,,,,,,,,,,,,,,
Q20.26.014.1A.12.05,,,,no,no,no,yes,no,Enhancer_Test,,patch-seq,acute,M1,,IN,macaque,,,1633,yfp+,,,Jonathan,,,,,144.904,116.323,1.24571,-0.319107,-66.4806,,0.189807,2.90909,1.08153,12.8114,12.4229,,,188.793,0,0,3,44,79,109,137,157,186,204,227,242,255,276,276,286,290,291,297,299,1.73252,0.14775,-5.76782,-38.5088,35.5225,74.0313,440.979,-339.661,1.298291532,0.278809,-24.353,0.663,0.663,16.5799,57.6629,98.9419,135.811,163.35,196.262,213.315,245.535,264.041,294.789,315.127,319.145,,,224.757,,,,,,,,,,,,,,,,,,,,66.6729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Q20.26.014.1A.12.06,,,,no,no,no,yes,no,Enhancer_Test,,patch-seq,acute,M1,,IN,macaque,,,1633,yfp+,,,Jonathan,,,,,110.179,88.1745,1.24956,-0.233627,-63.9195,,0.219345,3.45455,1.02895,14.1733,11.2292,,,102.606,0,0,0,0,0,0,0,17,51,80,101,121,142,162,181,204,219,235,249,260,3.04771,0.34028,-2.50244,-35.6267,34.5154,70.1421,396.423,-303.65,1.305526099,0.285767,-19.3,0.46,0.46,28.5094,75.9165,112.068,136.694,163.24,176.235,192.012,218.391,249.041,271.325,,,,,242.203,,,,,,,,,,,,,,,,,,,,52.5277,138.842,248.753,393.025,2371.26,5108.43,7332.43,8801.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1,0,0,1,0,1,1,0,,,,,,,,,,,,,,,,
Q20.26.014.1A.12.08,,,,no,no,yes,yes,no,Enhancer_Test,,patch-seq,acute,M1,,IN,macaque,,,1633,yfp+,,,Jonathan,,,,,73.304,41.3461,1.77294,-1.45869,-65.2428,,0.376499,2.90909,1.08301,15.9707,9.96545,1.25538,1.73514,58.0568,1,17,38,56,70,86,99,112,124,135,146,157,168,180,189,199,208,218,226,235,9.01876,0.651072,-4.45557,-38.9275,22.4304,61.3579,371.399,-302.124,1.22929327,0.261353,-22.6,0.299,0.299,28.5094,,,,,,,,,,,,,,52.5277,,,,,,,,,,,,,,,,,,,,23.9285,46.5584,75.5602,114.733,169.076,227.138,329.214,592.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
